params : {'max_depth': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 500, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.34, 0.36], train_time : 6.86
params : {'max_depth': 12, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.38, 0.37], train_time : 2.39
params : {'max_depth': 10, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.34, 0.32], train_time : 9.72
params : {'max_depth': 3, 'subsample': 0.5, 'colsample_bytree': 0.3, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.37, 0.37], train_time : 0.90
params : {'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 1.41
params : {'max_depth': 10, 'subsample': 0.3, 'colsample_bytree': 0.8, 'n_estimators': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.38, 0.39], train_time : 1.07
params : {'max_depth': 10, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.29, 0.31], train_time : 16.62
params : {'max_depth': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.39, 0.4], train_time : 0.82
params : {'max_depth': 10, 'subsample': 0.3, 'colsample_bytree': 0.3, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.33], train_time : 5.23
params : {'max_depth': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 300, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.35], train_time : 1.73
params : {'max_depth': 10, 'subsample': 0.3, 'colsample_bytree': 0.8, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.21, 0.23], train_time : 25.04
params : {'max_depth': 12, 'subsample': 0.5, 'colsample_bytree': 0.5, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.33, 0.34], train_time : 8.91
params : {'max_depth': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.35], train_time : 3.26
params : {'max_depth': 10, 'subsample': 0.3, 'colsample_bytree': 1.0, 'n_estimators': 500, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.25, 0.23], train_time : 27.21
params : {'max_depth': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 3.59
params : {'max_depth': 10, 'subsample': 0.5, 'colsample_bytree': 0.5, 'n_estimators': 300, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.29, 0.32], train_time : 10.08
params : {'max_depth': 12, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.27, 0.27], train_time : 36.74
params : {'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 0.52
params : {'max_depth': 6, 'subsample': 0.3, 'colsample_bytree': 0.8, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 1.15
params : {'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.3, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 0.98
params : {'max_depth': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 0.98
params : {'max_depth': 6, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.37], train_time : 3.18
params : {'max_depth': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.36], train_time : 3.93
params : {'max_depth': 10, 'subsample': 0.3, 'colsample_bytree': 0.8, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.34, 0.36], train_time : 3.28
params : {'max_depth': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 1.40
params : {'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.36], train_time : 1.89
params : {'max_depth': 5, 'subsample': 0.5, 'colsample_bytree': 0.5, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.38], train_time : 2.64
params : {'max_depth': 3, 'subsample': 1.0, 'colsample_bytree': 0.3, 'n_estimators': 300, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 1.54
params : {'max_depth': 10, 'subsample': 0.3, 'colsample_bytree': 1.0, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.24, 0.22], train_time : 25.15
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 1.31
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.37], train_time : 2.15
params : {'max_depth': 5, 'subsample': 0.3, 'colsample_bytree': 0.3, 'n_estimators': 300, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 2.37
params : {'max_depth': 12, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.32, 0.31], train_time : 13.33
params : {'max_depth': 3, 'subsample': 0.5, 'colsample_bytree': 0.3, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 0.86
params : {'max_depth': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.37], train_time : 0.92
params : {'max_depth': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.36], train_time : 1.30
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.37, 0.38], train_time : 0.66
params : {'max_depth': 5, 'subsample': 0.5, 'colsample_bytree': 0.5, 'n_estimators': 500, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 2.57
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.38, 0.37], train_time : 0.37
params : {'max_depth': 5, 'subsample': 0.3, 'colsample_bytree': 0.3, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 3.64
params : {'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 1.02
params : {'max_depth': 6, 'subsample': 0.3, 'colsample_bytree': 0.3, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.35], train_time : 1.38
params : {'max_depth': 10, 'subsample': 1.0, 'colsample_bytree': 0.3, 'n_estimators': 300, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.34, 0.33], train_time : 18.90
params : {'max_depth': 10, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 500, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.29, 0.28], train_time : 40.40
params : {'max_depth': 3, 'subsample': 0.5, 'colsample_bytree': 0.3, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 1.69
params : {'max_depth': 3, 'subsample': 0.3, 'colsample_bytree': 1.0, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.38, 0.37], train_time : 1.22
params : {'max_depth': 10, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.26, 0.24], train_time : 34.23
params : {'max_depth': 12, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.27, 0.27], train_time : 47.93
params : {'max_depth': 10, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.33, 0.33], train_time : 8.00
params : {'max_depth': 12, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.33, 0.35], train_time : 17.05
params : {'max_depth': 6, 'subsample': 1.0, 'colsample_bytree': 0.3, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 0.84
params : {'max_depth': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.39, 0.4], train_time : 0.52
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.37], train_time : 1.83
params : {'max_depth': 6, 'subsample': 0.3, 'colsample_bytree': 0.5, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.37], train_time : 3.08
params : {'max_depth': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.4, 0.39], train_time : 0.59
params : {'max_depth': 12, 'subsample': 0.5, 'colsample_bytree': 0.3, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.25, 0.26], train_time : 23.84
params : {'max_depth': 12, 'subsample': 0.3, 'colsample_bytree': 0.5, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.38, 0.38], train_time : 1.90
params : {'max_depth': 5, 'subsample': 0.3, 'colsample_bytree': 0.8, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.36], train_time : 1.06
params : {'max_depth': 6, 'subsample': 0.3, 'colsample_bytree': 0.8, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.35], train_time : 1.12
params : {'max_depth': 12, 'subsample': 0.5, 'colsample_bytree': 0.3, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.22, 0.23], train_time : 37.95
params : {'max_depth': 12, 'subsample': 0.5, 'colsample_bytree': 0.5, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.39, 0.39], train_time : 1.75
params : {'max_depth': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.37, 0.37], train_time : 0.38
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.37, 0.38], train_time : 0.61
params : {'max_depth': 12, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.32, 0.35], train_time : 19.85
params : {'max_depth': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.34, 0.34], train_time : 4.49
params : {'max_depth': 6, 'subsample': 1.0, 'colsample_bytree': 0.3, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.38], train_time : 1.16
params : {'max_depth': 12, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.27, 0.29], train_time : 43.13
params : {'max_depth': 12, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.22, 0.22], train_time : 50.47
params : {'max_depth': 10, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 300, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.32, 0.34], train_time : 22.24
params : {'max_depth': 10, 'subsample': 0.3, 'colsample_bytree': 0.5, 'n_estimators': 300, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.28, 0.28], train_time : 20.04
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 1.03
params : {'max_depth': 6, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.37], train_time : 3.26
params : {'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.39, 0.39], train_time : 0.38
params : {'max_depth': 12, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.27, 0.26], train_time : 61.66
params : {'max_depth': 6, 'subsample': 0.5, 'colsample_bytree': 0.5, 'n_estimators': 500, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 3.36
params : {'max_depth': 12, 'subsample': 0.3, 'colsample_bytree': 0.5, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.31, 0.31], train_time : 7.68
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 0.3, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.38], train_time : 2.10
params : {'max_depth': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.38], train_time : 0.51
params : {'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.3, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.36], train_time : 1.13
params : {'max_depth': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.38], train_time : 0.66
params : {'max_depth': 5, 'subsample': 0.5, 'colsample_bytree': 0.5, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 0.94
params : {'max_depth': 12, 'subsample': 0.3, 'colsample_bytree': 0.5, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.38, 0.38], train_time : 1.74
params : {'max_depth': 10, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.35], train_time : 2.19
params : {'max_depth': 6, 'subsample': 0.3, 'colsample_bytree': 1.0, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 0.99
params : {'max_depth': 3, 'subsample': 0.3, 'colsample_bytree': 0.3, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 0.78
params : {'max_depth': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.36], train_time : 2.11
params : {'max_depth': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.36], train_time : 1.85
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.35], train_time : 0.71
params : {'max_depth': 12, 'subsample': 0.8, 'colsample_bytree': 0.3, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.35], train_time : 9.93
params : {'max_depth': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.36], train_time : 3.67
params : {'max_depth': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 500, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.32, 0.31], train_time : 32.32
params : {'max_depth': 6, 'subsample': 0.3, 'colsample_bytree': 0.3, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.38, 0.38], train_time : 0.77
params : {'max_depth': 10, 'subsample': 0.5, 'colsample_bytree': 0.5, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.33, 0.35], train_time : 5.94
params : {'max_depth': 10, 'subsample': 1.0, 'colsample_bytree': 0.3, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.41, 0.43], train_time : 1.45
params : {'max_depth': 6, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.38, 0.38], train_time : 0.44
params : {'max_depth': 10, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.33], train_time : 17.33
params : {'max_depth': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 1.08
params : {'max_depth': 6, 'subsample': 0.3, 'colsample_bytree': 1.0, 'n_estimators': 500, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.35], train_time : 6.14
params : {'max_depth': 10, 'subsample': 0.5, 'colsample_bytree': 0.5, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.37], train_time : 4.01
params : {'max_depth': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 1.37
params : {'max_depth': 12, 'subsample': 0.5, 'colsample_bytree': 0.3, 'n_estimators': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.4, 0.4], train_time : 2.79
params : {'max_depth': 12, 'subsample': 1.0, 'colsample_bytree': 0.5, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 10.23
params : {'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 300, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 1.25
params : {'max_depth': 12, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.21, 0.22], train_time : 45.73
params : {'max_depth': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'n_estimators': 300, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.3, 0.32], train_time : 12.57
params : {'max_depth': 10, 'subsample': 0.8, 'colsample_bytree': 0.3, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.35, 0.36], train_time : 2.50
params : {'max_depth': 5, 'subsample': 0.8, 'colsample_bytree': 0.3, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 0.96
params : {'max_depth': 6, 'subsample': 1.0, 'colsample_bytree': 0.3, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.36], train_time : 1.01
params : {'max_depth': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 0.62
params : {'max_depth': 12, 'subsample': 0.3, 'colsample_bytree': 0.5, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.31, 0.31], train_time : 7.89
params : {'max_depth': 10, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.39, 0.39], train_time : 0.89
params : {'max_depth': 3, 'subsample': 1.0, 'colsample_bytree': 0.5, 'n_estimators': 500, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 1.44
params : {'max_depth': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.36], train_time : 0.70
params : {'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 1.01
params : {'max_depth': 6, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.34], train_time : 2.76
params : {'max_depth': 12, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.34, 0.35], train_time : 19.29
params : {'max_depth': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 2.31
params : {'max_depth': 12, 'subsample': 0.5, 'colsample_bytree': 0.3, 'n_estimators': 300, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.25, 0.27], train_time : 42.85
params : {'max_depth': 3, 'subsample': 0.3, 'colsample_bytree': 0.8, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.39, 0.39], train_time : 0.73
params : {'max_depth': 3, 'subsample': 0.3, 'colsample_bytree': 0.3, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 0.65
params : {'max_depth': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'n_estimators': 100, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 1.55
params : {'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.4, 0.38], train_time : 0.61
params : {'max_depth': 6, 'subsample': 0.3, 'colsample_bytree': 0.3, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 1.28
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 100, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.36], train_time : 1.07
params : {'max_depth': 12, 'subsample': 0.5, 'colsample_bytree': 0.3, 'n_estimators': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.33, 0.34], train_time : 9.80
params : {'max_depth': 12, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 300, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.28, 0.26], train_time : 35.58
params : {'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 0.76
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'n_estimators': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 0.84
params : {'max_depth': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'n_estimators': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.39, 0.4], train_time : 0.66
